year,mileage,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,brand,car_age,yearly_mileage,has_insurance,price
2017.0,140000,9,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,peugeot_pars,9.0,14000.0,1,930000000.0
2021.0,30000,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,5.0,5000.0,1,2310000000.0
2014.0,138000,8,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,12.0,10615.384615384615,1,4400000000.0
2009.0,230000,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,pride_131,17.0,12777.777777777777,0,480000000.0
2015.0,220000,0,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,11.0,18333.333333333332,0,6400000000.0
2010.0,12345,4,دنده‌ای,سالم و پلمپ,نیاز به تعمیر,دوررنگ,سالم و پلمپ,pride_131,16.0,726.1764705882352,1,390000000.0
2023.0,34000,10,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,3.0,8500.0,1,1900000000.0
2003.0,350000,6,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,ضربه‌خورده,peugeot_pars,23.0,14583.333333333334,1,580000000.0
2020.0,118000,2,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,jac_s5,6.0,16857.14285714286,1,3250000000.0
2016.0,135000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,10.0,12272.727272727272,1,5900000000.0
2008.0,380,8,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,peugeot_206,18.0,20.0,1,735000000.0
2009.0,225000,5,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_206,17.0,12500.0,1,810000000.0
2021.0,77000,12,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,5.0,12833.333333333334,1,1670000000.0
2023.0,84000,12,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,quick,3.0,21000.0,1,960000.0
2022.0,83000,1,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,quick,4.0,16600.0,1,930000000.0
2019.0,123000,3,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,pride_131,7.0,15375.0,1,750000000.0
2014.0,268000,12,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_206,12.0,20615.384615384617,1,1060000000.0
2013.0,250000,0,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,renault_tondar-90,13.0,17857.14285714286,0,1180000000.0
2020.0,90000,9,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,6.0,12857.142857142857,1,1680000000.0
2024.0,45000,7,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,2.0,15000.0,1,2150000000.0
2009.0,350000,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,17.0,19444.444444444445,1,4000000000.0
2022.0,90000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,jac_s5,4.0,18000.0,1,3090000000.0
2015.0,176000,6,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_206,11.0,14666.666666666666,1,1135000000.0
2016.0,160000,10,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,pride_131,10.0,14545.454545454546,1,600000000.0
